1	84.2697
2	84.2697
3	84.0619
4	85.6542
5	87.2093
6	87.1246
7	86.8726
8	86.7052
9	87.5899
10	89.1475
11	89.8204
12	89.8204
13	90.4375
14	91.7605
15	93.1081
16	94.3291
17	95.8003
18	97.5119
19	98.7457
20	98.904
21	98.3437
22	98.3075
23	98.8313
24	99.0789
25	98.8157
26	98.2998
27	97.7311
28	97.6471
29	97.7922
30	97.2974
31	96.2042
32	95.2318
33	94.9367
34	95.0867
35	95.389
36	95.5414
37	95.2439
38	94.9415
39	95.3557
40	96.3423
41	97.1563
42	97.4026
43	96.7028
44	96.5516
45	97.9837
46	98.9879
47	97.6312
48	95.4064
49	93.8603
50	93.0552
51	94.6012
52	95.8476
53	95.7692
54	95.9236
55	95.7692
56	95.9211
57	95.8501
58	94.6703
59	93.0993
60	91.972
61	91.7821
62	91.7911
63	90.807
64	89.3196
65	88.1511
66	88.7762
67	90.2265
68	90.8066
69	91.2284
70	92.4238
71	93.243
72	92.8472
73	92.5926
74	91.7778
75	91.2974
76	91.6364
77	91.2952
78	91.771
79	93.2285
80	93.3199
81	91.8799
82	91.2239
83	92.4055
84	93.8716
85	94.5825
86	94.5594
87	94.9453
88	96.2412
89	96.6879
90	95.8295
91	94.7819
92	93.4731
93	92.7997
94	92.963
95	92.6996
96	91.9648
97	91.2417
98	91.9312
99	93.9548
